names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,sex,cluster
Urod,-3.3701699,-1.0747718,0.0007512184525953433,0.01919623001820679,0.15973741794310722,Male,Central brain B cholinergic neurons
PXo,-3.403794,-1.0953892,0.0006645682153714726,0.01776408328325193,0.14442013129102846,Male,Central brain B cholinergic neurons
Hsp26,-3.411412,-1.1144478,0.0006462733238626519,0.01735115758714067,0.2100656455142232,Male,Central brain B cholinergic neurons
CG2921,-3.4466124,-1.2975855,0.0005676622645524085,0.01559902138557794,0.1050328227571116,Male,Central brain B cholinergic neurons
CG1764,-3.55773,-1.1621941,0.00037407360174870907,0.01120290695753075,0.1400437636761488,Male,Central brain B cholinergic neurons
CG5641,-3.7069373,-1.0085963,0.0002097808054977096,0.006782541745919316,0.17943107221006566,Male,Central brain B cholinergic neurons
mRpL38,-3.8103056,-1.029092,0.00013879515966152734,0.004833640574612448,0.18161925601750548,Male,Central brain B cholinergic neurons
mRpS22,-4.0310955,-1.0325735,5.551742686989908e-05,0.0021758904055215428,0.19037199124726478,Male,Central brain B cholinergic neurons
Nfs1,-4.1686134,-1.0084356,3.0645819159801055e-05,0.001288075481857983,0.24070021881838075,Male,Central brain B cholinergic neurons
CG8229,-4.421846,-1.0102788,9.786130407336018e-06,0.00046961867533471934,0.23851203501094093,Male,Central brain B cholinergic neurons
Prosbeta1,-4.6096683,-1.0579486,4.033115806655603e-06,0.0002074246774992622,0.23194748358862144,Male,Central brain B cholinergic neurons
MED19,-4.8405724,-1.1715494,1.2946580368132765e-06,7.443673023923126e-05,0.2210065645514223,Male,Central brain B cholinergic neurons
mRpL2,-5.586084,-1.2630605,2.322470708941267e-08,1.993563061358106e-06,0.23413566739606126,Male,Central brain B cholinergic neurons
Hr38,-6.0632586,-1.0910491,1.333908785198719e-09,1.5484775412178274e-07,0.47921225382932164,Male,Central brain B cholinergic neurons
Jupiter,-11.272252,-1.0606136,1.7990788970805393e-29,2.741121584564337e-26,0.7899343544857768,Male,Central brain B cholinergic neurons
mt:lrRNA,43.22234,2.966105,0.0,0.0,0.9530995106035889,Male,Central brain GABAergic neurons type 1
snRNA:7SKa,37.928486,2.8985097,0.0,0.0,0.8747960848287113,Male,Central brain GABAergic neurons type 1
Cyt-c-p,29.87816,2.159103,3.7825893752727123e-196,1.536866063173303e-192,0.7606035889070146,Male,Central brain GABAergic neurons type 1
Mic10b,21.124912,3.1398733,4.6949228202853836e-99,1.4306603564114635e-95,0.44127243066884175,Male,Central brain GABAergic neurons type 1
RpL41,20.661987,1.1246058,7.616497073252338e-95,1.856749656517455e-91,0.8278955954323002,Male,Central brain GABAergic neurons type 1
flw,19.411453,1.5833857,6.1755420069518765e-84,1.0753383074676631e-80,0.6227569331158238,Male,Central brain GABAergic neurons type 1
His3.3B,18.845257,1.0214685,3.214033702386738e-79,4.896982099798994e-76,0.8111745513866232,Male,Central brain GABAergic neurons type 1
VhaM9.7-a,17.941946,1.1668061,5.547746638579397e-72,7.51349819751603e-69,0.7145187601957586,Male,Central brain GABAergic neurons type 1
sun,16.99158,1.6949885,9.480101853614133e-65,1.0504814681245697e-61,0.5040783034257749,Male,Central brain GABAergic neurons type 1
sif,15.902969,1.0036631,6.043122995019248e-57,5.666125091253048e-54,0.7597879282218597,Male,Central brain GABAergic neurons type 1
eIF4EHP,15.42456,1.098941,1.1191668589679592e-53,7.179749917873923e-51,0.6529363784665579,Male,Central brain GABAergic neurons type 1
