names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,sex,cluster
Jupiter,-6.5580955,-1.1183995,5.4499254828237266e-11,4.42860944734256e-08,0.48148148148148145,Male,Dopaminergic neurons
UQCR-C2,-6.7069936,-1.1585199,1.9867482208382728e-11,2.0180395053164757e-08,0.4619883040935672,Male,Dopaminergic neurons
ATPsynD,-6.726348,-1.0895457,1.7397434543768942e-11,1.9277939059454513e-08,0.5165692007797271,Male,Dopaminergic neurons
COX5A,-6.769185,-1.0091786,1.295097589002728e-11,1.578594451235425e-08,0.6081871345029239,Male,Dopaminergic neurons
IscU,-7.6483803,-1.0801044,2.035262457474278e-14,3.543973442021996e-11,0.6159844054580896,Male,Dopaminergic neurons
mt:lrRNA,20.497234,3.2956533,2.278862579162542e-93,2.777705597741222e-89,0.9636752136752137,Male,GABAergic and monoaminergic neurons
snRNA:7SKa,16.735258,3.0501351,7.254287923244073e-63,4.421125774821101e-59,0.8397435897435898,Male,GABAergic and monoaminergic neurons
Cyt-c-p,8.72872,1.8066311,2.5757243660586452e-18,1.0465168099296277e-14,0.5811965811965812,Male,GABAergic and monoaminergic neurons
Mic10b,6.5845027,2.735133,4.564104587367449e-11,1.1126374163084367e-07,0.32264957264957267,Male,GABAergic and monoaminergic neurons
flw,5.9923687,1.3772941,2.0680625857712994e-09,2.6303161269811364e-06,0.47863247863247865,Male,GABAergic and monoaminergic neurons
CG42613,5.937399,1.2019707,2.8957943959068115e-09,3.0632242033099145e-06,0.5427350427350427,Male,GABAergic and monoaminergic neurons
VhaM9.7-a,5.5861664,1.1674554,2.3213699917566948e-08,1.66442228408955e-05,0.5213675213675214,Male,GABAergic and monoaminergic neurons
sun,5.3047886,1.7557154,1.1280375539811907e-07,7.236657760777227e-05,0.33974358974358976,Male,GABAergic and monoaminergic neurons
mt:srRNA,4.3054075,3.3636172,1.6667867279356565e-05,0.004735919178316983,0.19017094017094016,Male,GABAergic and monoaminergic neurons
RNaseMRP:RNA,3.8956795,5.1720424,9.79238017376764e-05,0.021189826101937696,0.15598290598290598,Male,GABAergic and monoaminergic neurons
Nca,3.8677375,1.5174555,0.00010984978260380931,0.022315983335963862,0.2606837606837607,Male,GABAergic and monoaminergic neurons
mt:lrRNA,27.45117,3.196833,6.727870253168727e-166,8.200601051587361e-162,0.9393305439330544,Male,GABAergic neurons type 3
snRNA:7SKa,24.762762,3.1860702,2.2592512765073234e-135,1.3769006904673882e-131,0.8797071129707112,Male,GABAergic neurons type 3
Cyt-c-p,14.634237,2.157354,1.698702406801204e-48,6.901827878833292e-45,0.6255230125523012,Male,GABAergic neurons type 3
RpL41,11.114805,1.2125015,1.0628206863389354e-28,3.238680336446321e-25,0.7374476987447699,Male,GABAergic neurons type 3
His3.3B,10.400368,1.022031,2.469777144097335e-25,6.020822721880483e-22,0.7719665271966527,Male,GABAergic neurons type 3
Mic10b,9.699484,2.8422983,3.030281157552126e-22,6.156016171567144e-19,0.3389121338912134,Male,GABAergic neurons type 3
flw,9.472527,1.3462272,2.7315407811001402e-21,4.7563929401185154e-18,0.5721757322175732,Male,GABAergic neurons type 3
VhaM9.7-a,7.6114044,1.1868469,2.7113330415803324e-14,1.5737351639915557e-11,0.5073221757322176,Male,GABAergic neurons type 3
sun,7.5042896,1.8257625,6.176251396765541e-14,3.011293131007007e-11,0.3410041841004184,Male,GABAergic neurons type 3
RNaseMRP:RNA,7.1711903,4.732862,7.434858272929756e-13,3.356425462545955e-10,0.21234309623430964,Male,GABAergic neurons type 3
Nca,5.520702,1.3994257,3.376480069095512e-08,7.22033606354477e-06,0.2897489539748954,Male,GABAergic neurons type 3
28SrRNA-Psi:CR40596,5.188331,3.3761637,2.1218729880915598e-07,3.592154146090003e-05,0.16422594142259414,Male,GABAergic neurons type 3
pcs,5.0875316,1.4685863,3.627542529375128e-07,5.8567685836409464e-05,0.25523012552301255,Male,GABAergic neurons type 3
AcCoAS,5.046823,1.5282986,4.492170766069239e-07,6.844383683452245e-05,0.2405857740585774,Male,GABAergic neurons type 3
CG44774,4.9152737,1.0152215,8.865853109094134e-07,0.00012007320394083156,0.33577405857740583,Male,GABAergic neurons type 3
mt:srRNA,4.7819753,3.308716,1.7358087348225144e-06,0.00022508268796544287,0.15271966527196654,Male,GABAergic neurons type 3
ninaE,4.4314847,1.0953248,9.358642381499071e-06,0.0010006358946323874,0.28451882845188287,Male,GABAergic neurons type 3
Serinc,3.8367922,1.0883598,0.0001246518688626227,0.009817979257835757,0.2301255230125523,Male,GABAergic neurons type 3
Tom6,3.6832368,1.480785,0.00023029091894198115,0.016797844562472148,0.18410041841004185,Male,GABAergic neurons type 3
Arr2,3.5723817,1.1238939,0.00035374914517042726,0.02443314929596228,0.2186192468619247,Male,GABAergic neurons type 3
MED21,3.4615753,2.0549524,0.0005370239403057885,0.03481800429993222,0.13702928870292888,Male,GABAergic neurons type 3
Hr38,-5.0092235,-1.0635343,5.465004633477684e-07,8.223819935488826e-05,0.2615062761506276,Male,GABAergic neurons type 3
mt:lrRNA,9.335907,2.8298318,1.0013038741799756e-20,1.2204892922379723e-16,0.9323308270676691,Male,Glia (Gs2+)
snRNA:7SKa,7.3741918,2.7510993,1.6534531459736834e-13,1.0076970198136613e-09,0.7593984962406015,Male,Glia (Gs2+)
Cyt-c-p,6.971648,2.8846529,3.132488592508277e-12,1.272730115136113e-08,0.6766917293233082,Male,Glia (Gs2+)
RpL41,6.353262,1.3490027,2.1079659314287059e-10,6.423499184546124e-07,0.9473684210526315,Male,Glia (Gs2+)
RpL38,4.6993737,1.2544084,2.6096062105297122e-06,0.006361698020029332,0.8646616541353384,Male,Glia (Gs2+)
mt:lrRNA,13.664103,3.0200858,1.6634135148871915e-42,2.0275347332959976e-38,0.9680365296803652,Male,Glutamatergic neurons (subtype)
Cyt-c-p,11.706752,2.5210207,1.1770327848984027e-31,7.173426307563315e-28,0.9041095890410958,Male,Glutamatergic neurons (subtype)
snRNA:7SKa,11.318826,2.6156363,1.058811465425557e-29,4.301950984024038e-26,0.9269406392694064,Male,Glutamatergic neurons (subtype)
Mic10b,8.017621,3.4824302,1.078128594439017e-15,3.2853273594042945e-12,0.5662100456621004,Male,Glutamatergic neurons (subtype)
RpL41,6.9975185,1.1448216,2.6053531127903167e-12,6.351329818360234e-09,0.8538812785388128,Male,Glutamatergic neurons (subtype)
sun,6.447238,1.6021335,1.1390672919916255e-10,1.9834416031551317e-07,0.6712328767123288,Male,Glutamatergic neurons (subtype)
eIF4EHP,5.81602,1.26651,6.026528897849757e-09,6.556505650308924e-06,0.7808219178082192,Male,Glutamatergic neurons (subtype)
VhaM9.7-a,5.804526,1.0344208,6.4548418905330285e-09,6.556505650308924e-06,0.7808219178082192,Male,Glutamatergic neurons (subtype)
CG7646,5.6972475,1.191299,1.2175715400635436e-08,9.974562191659404e-06,0.771689497716895,Male,Glutamatergic neurons (subtype)
RpL29,5.664681,1.1434457,1.4729848178674974e-08,9.974562191659404e-06,0.821917808219178,Male,Glutamatergic neurons (subtype)
flw,4.928579,1.2537416,8.282992598291031e-07,0.00034814274751920475,0.634703196347032,Male,Glutamatergic neurons (subtype)
Syn,4.8749394,1.1176491,1.0884174125270869e-06,0.0004279587045578278,0.7214611872146118,Male,Glutamatergic neurons (subtype)
CG42613,4.7978334,1.1059364,1.6039118023699675e-06,0.0005924266957299253,0.7077625570776256,Male,Glutamatergic neurons (subtype)
mt:srRNA,4.7872972,3.8105235,1.690425591082378e-06,0.0006060175744030324,0.3242009132420091,Male,Glutamatergic neurons (subtype)
Tom6,4.4625883,1.9962665,8.097550293432045e-06,0.0022432054665146185,0.3972602739726027,Male,Glutamatergic neurons (subtype)
mAcon1,4.312686,1.4206017,1.6128306415546645e-05,0.004273650584763001,0.4840182648401826,Male,Glutamatergic neurons (subtype)
Grx5,-3.6785944,-1.0960242,0.00023452299416315412,0.03811467701139581,0.3242009132420091,Male,Glutamatergic neurons (subtype)
Alas,-4.07562,-1.5590274,4.589190521488023e-05,0.009813621625687283,0.2374429223744292,Male,Glutamatergic neurons (subtype)
Dld,-4.15991,-1.1000562,3.1837279930607584e-05,0.0076091099034152135,0.4155251141552511,Male,Glutamatergic neurons (subtype)
Jupiter,-4.557415,-1.0212,5.178708261393944e-06,0.0015395920731251411,0.5114155251141552,Male,Glutamatergic neurons (subtype)
Mic26-27,-5.6163096,-1.1263835,1.950788246923597e-08,1.1322932353215108e-05,0.6301369863013698,Male,Glutamatergic neurons (subtype)
Tsp42Ej,-5.681922,-1.0640293,1.3318943584926088e-08,9.974562191659404e-06,0.6986301369863014,Male,Glutamatergic neurons (subtype)
SdhB,-5.7034736,-1.1513736,1.1739035193380187e-08,9.974562191659404e-06,0.6484018264840182,Male,Glutamatergic neurons (subtype)
mt:lrRNA,43.599617,2.9856188,0.0,0.0,0.9478228228228228,Male,Glutamatergic neurons type 1
snRNA:7SKa,40.959297,2.9970758,0.0,0.0,0.8967717717717718,Male,Glutamatergic neurons type 1
Cyt-c-p,29.502607,2.4077196,2.665516412211297e-191,1.0829993182814499e-187,0.7064564564564565,Male,Glutamatergic neurons type 1
RpL41,20.268078,1.1504508,2.4607820891010233e-91,7.498618221013093e-88,0.7972972972972973,Male,Glutamatergic neurons type 1
VhaM9.7-a,19.395033,1.304477,8.499854703040007e-84,2.072094579507093e-80,0.7105855855855856,Male,Glutamatergic neurons type 1
Mic10b,18.679152,3.0899212,7.317188718195437e-78,1.4864868881014033e-74,0.37875375375375375,Male,Glutamatergic neurons type 1
CG7646,16.061209,1.0896403,4.7716406714712135e-58,6.462392016062514e-55,0.6719219219219219,Male,Glutamatergic neurons type 1
CG42613,14.835481,1.104688,8.638246689275438e-50,8.099352991967563e-47,0.6418918918918919,Male,Glutamatergic neurons type 1
flw,14.63226,1.4235086,1.7487879258626874e-48,1.2538809428435469e-45,0.4831081081081081,Male,Glutamatergic neurons type 1
sun,13.977247,1.5282395,2.1463083731459054e-44,1.3769133031723915e-41,0.43093093093093093,Male,Glutamatergic neurons type 1
RNaseMRP:RNA,13.398626,4.5088363,6.159250349379857e-41,2.8875039426381183e-38,0.240990990990991,Male,Glutamatergic neurons type 1
eIF4EHP,12.364899,1.0109012,4.0472036367698e-35,1.4509225037819733e-32,0.5442942942942943,Male,Glutamatergic neurons type 1
Nca,12.308369,1.7446419,8.165686764655403e-35,2.843758742125277e-32,0.3352102102102102,Male,Glutamatergic neurons type 1
mt:srRNA,10.242555,3.795063,1.2781604707934861e-24,2.885092218241074e-22,0.19144144144144143,Male,Glutamatergic neurons type 1
ninaE,9.743812,1.3867494,1.9605974050611736e-22,3.6765725800447143e-20,0.3033033033033033,Male,Glutamatergic neurons type 1
28SrRNA-Psi:CR40596,9.41145,3.3219962,4.893350315382155e-21,7.646800896691421e-19,0.18130630630630631,Male,Glutamatergic neurons type 1
Tom6,8.45743,1.4757028,2.7333420159972723e-17,3.2986837458406685e-15,0.24774774774774774,Male,Glutamatergic neurons type 1
Alat,8.210616,1.2353548,2.2005670577553643e-16,2.4384283515436485e-14,0.2774024024024024,Male,Glutamatergic neurons type 1
Serinc,8.192778,1.009624,2.552651685264629e-16,2.778059945686657e-14,0.33070570570570573,Male,Glutamatergic neurons type 1
mir-9381,7.4869885,1.9505826,7.047186544966364e-14,6.09206785791454e-12,0.18018018018018017,Male,Glutamatergic neurons type 1
CRMP,7.332935,1.422798,2.2516654409908664e-13,1.8419832255193067e-11,0.2180930930930931,Male,Glutamatergic neurons type 1
CG32544,7.2745295,1.279154,3.476305382470772e-13,2.7694566213683816e-11,0.234984984984985,Male,Glutamatergic neurons type 1
mAcon1,7.1666903,1.0317942,7.683242275444076e-13,5.85319000596174e-11,0.27852852852852855,Male,Glutamatergic neurons type 1
pcs,6.9340596,1.2337481,4.08932509759922e-12,2.9669514056331484e-10,0.2286036036036036,Male,Glutamatergic neurons type 1
MED21,6.764171,2.745532,1.3407470225632819e-11,9.232974835041718e-10,0.13776276276276275,Male,Glutamatergic neurons type 1
CG31360,6.555729,1.9508274,5.537070683541898e-11,3.443436457229194e-09,0.15915915915915915,Male,Glutamatergic neurons type 1
28SrRNA-Psi:CR45859,5.9571176,1.913254,2.5672530880444215e-09,1.3372755508621135e-07,0.14226726726726727,Male,Glutamatergic neurons type 1
Glyp,5.5839767,1.0699476,2.3508022299266612e-08,1.085376075021821e-06,0.20270270270270271,Male,Glutamatergic neurons type 1
CG1275,5.4994216,1.5833532,3.810395984323359e-08,1.7330192780939339e-06,0.15165165165165165,Male,Glutamatergic neurons type 1
Arr2,5.4900975,1.0482806,4.017122414627365e-08,1.8202492606651656e-06,0.19594594594594594,Male,Glutamatergic neurons type 1
lig,5.2371345,1.1700462,1.6308870566216888e-07,6.926439837338594e-06,0.1707957957957958,Male,Glutamatergic neurons type 1
AcCoAS,4.6855483,1.3139226,2.7921143961131683e-06,9.148678057586939e-05,0.14527027027027026,Male,Glutamatergic neurons type 1
Mlc-c,4.2005835,1.3715692,2.6622826742385364e-05,0.0007275911102307964,0.12124624624624625,Male,Glutamatergic neurons type 1
CG5934,4.086628,1.4035466,4.376880426963297e-05,0.001149780075953785,0.1174924924924925,Male,Glutamatergic neurons type 1
CG13384,4.0687046,1.0325401,4.727523337308317e-05,0.0012260379140095973,0.14864864864864866,Male,Glutamatergic neurons type 1
Vsp37A,4.0065694,1.1635133,6.160700209255568e-05,0.0015644328093878358,0.13325825825825827,Male,Glutamatergic neurons type 1
Tango11,3.8446198,1.145501,0.0001207395548165471,0.002816026631958128,0.13025525525525525,Male,Glutamatergic neurons type 1
CG17724,3.5294473,2.2351067,0.0004164287077708277,0.00872139092614883,0.07807807807807808,Male,Glutamatergic neurons type 1
lncRNA:CR45102,3.525515,1.1936905,0.00042265993675021676,0.00882157871412396,0.12087087087087087,Male,Glutamatergic neurons type 1
CG7582,3.5084016,1.2067994,0.00045080786608256456,0.009237711145560558,0.11524024024024024,Male,Glutamatergic neurons type 1
Lztr1,3.4871004,1.1490291,0.0004882881551384656,0.009936134095129811,0.11824324324324324,Male,Glutamatergic neurons type 1
capt,3.3535914,1.3962418,0.0007977008061823504,0.015360466234686681,0.09684684684684684,Male,Glutamatergic neurons type 1
CG6276,3.3184266,1.3798982,0.0009052612702882254,0.01713389693096767,0.09384384384384384,Male,Glutamatergic neurons type 1
Arr1,3.2871406,1.7261248,0.0010121030779770774,0.019008512199480118,0.08220720720720721,Male,Glutamatergic neurons type 1
Sf3b5,3.1195643,1.016165,0.0018111870042888125,0.03149295063520162,0.11223723723723723,Male,Glutamatergic neurons type 1
CG5412,3.104177,1.4927876,0.0019080909050472625,0.0327573521712973,0.08220720720720721,Male,Glutamatergic neurons type 1
Rab21,3.0609243,1.0274923,0.002206548072904218,0.037046300909958,0.10810810810810811,Male,Glutamatergic neurons type 1
FucTA,3.032931,1.1857148,0.0024219090025733906,0.040055154453686646,0.0990990990990991,Male,Glutamatergic neurons type 1
caz,2.9969778,1.676296,0.002726706096549885,0.04431442748112873,0.07845345345345345,Male,Glutamatergic neurons type 1
Rer1,2.9901474,1.114657,0.0027884298067629644,0.04513701316684432,0.0990990990990991,Male,Glutamatergic neurons type 1
ND-AGGG,2.9625163,1.3815724,0.0030513569119862637,0.04862501865441285,0.08746246246246246,Male,Glutamatergic neurons type 1
Hsp27,-5.0241747,-1.0084792,5.056023434314337e-07,1.9440968340964495e-05,0.13963963963963963,Male,Glutamatergic neurons type 1
Hr38,-13.489394,-1.2913553,1.805781139977891e-41,8.804266526076206e-39,0.35960960960960964,Male,Glutamatergic neurons type 1
mt:lrRNA,41.44074,2.923611,0.0,0.0,0.9278189621537261,Male,Glutamatergic neurons type 3
snRNA:7SKa,39.06404,3.1917064,0.0,0.0,0.8493952399531799,Male,Glutamatergic neurons type 3
Cyt-c-p,24.429861,2.3035774,8.239133988504789e-132,3.347560139529496e-128,0.6141240733515412,Male,Glutamatergic neurons type 3
RpL41,15.714726,1.0605251,1.198968060326265e-55,3.653555421829211e-52,0.6972298088177916,Male,Glutamatergic neurons type 3
Mic10b,14.762239,2.7708278,2.5661629169015147e-49,6.255791958822513e-46,0.314865392118611,Male,Glutamatergic neurons type 3
flw,12.480814,1.3429154,9.501021711473455e-36,1.2867550404572216e-32,0.44127975029262584,Male,Glutamatergic neurons type 3
CG42613,11.512443,1.0213617,1.1419704150889064e-30,1.0707290299629756e-27,0.5271166601638705,Male,Glutamatergic neurons type 3
RNaseMRP:RNA,10.170894,4.346829,2.674439800317596e-24,1.3582811135862993e-21,0.18454935622317598,Male,Glutamatergic neurons type 3
sun,9.993301,1.4515433,1.630594098537498e-23,7.644350564259064e-21,0.3160358954350371,Male,Glutamatergic neurons type 3
mt:srRNA,9.069885,3.0806086,1.1914267785364095e-19,4.033972500994527e-17,0.17947717518532968,Male,Glutamatergic neurons type 3
Nca,8.873397,1.3658286,7.094778430838217e-19,2.1092257144752935e-16,0.2887241513850956,Male,Glutamatergic neurons type 3
ninaE,8.734998,1.1873008,2.436608909529237e-18,6.906936278663226e-16,0.31759656652360513,Male,Glutamatergic neurons type 3
28SrRNA-Psi:CR40596,6.956137,2.803237,3.4972969417514494e-12,5.015123814471579e-10,0.14280140460397972,Male,Glutamatergic neurons type 3
CG32544,6.149192,1.1733012,7.787876529221025e-10,8.044612458870769e-08,0.21732344908310575,Male,Glutamatergic neurons type 3
Arr2,5.4120226,1.0790302,6.231688936250654e-08,5.1323011110783254e-06,0.19547405384315256,Male,Glutamatergic neurons type 3
mAcon1,5.258207,1.1032468,1.4546694455898213e-07,1.1366003764291238e-05,0.18689036285602809,Male,Glutamatergic neurons type 3
Alat,5.078603,1.1915834,3.8022050902564063e-07,2.694481270066008e-05,0.17245415528677333,Male,Glutamatergic neurons type 3
Tom6,4.98991,1.2749422,6.040746091807307e-07,4.136553601856138e-05,0.1591884510339446,Male,Glutamatergic neurons type 3
pcs,4.695825,1.0986379,2.6553289939574037e-06,0.00016683404694508655,0.16738197424892703,Male,Glutamatergic neurons type 3
MED21,3.9971638,1.8484969,6.41059354361481e-05,0.00289402684085633,0.10105345298478345,Male,Glutamatergic neurons type 3
28SrRNA-Psi:CR45859,3.9330957,1.509082,8.385882898730658e-05,0.0037034611106024637,0.11041747951619196,Male,Glutamatergic neurons type 3
CG5282,3.5465996,1.0623711,0.0003902372626706193,0.014413945438461149,0.12056184159188452,Male,Glutamatergic neurons type 3
CG31360,3.368246,1.3377103,0.0007564806807122796,0.02540149591515696,0.0998829496683574,Male,Glutamatergic neurons type 3
mt:lrRNA,26.461649,3.1645124,2.6798072149736854e-154,3.266417014331425e-150,0.9293320425943853,Male,Kenyon cells
snRNA:7SKa,24.597643,3.1466742,1.338731013203496e-133,8.158896159968706e-130,0.8547918683446273,Male,Kenyon cells
Cyt-c-p,17.28477,2.38836,6.126606587946769e-67,2.489240256682773e-63,0.6853823814133592,Male,Kenyon cells
RpL41,13.016653,1.1371756,9.839022931255257e-39,2.998196262726758e-35,0.8654404646660213,Male,Kenyon cells
Mic10b,11.704429,3.5084355,1.2097174215122646e-31,2.106463664401856e-28,0.3736689254598258,Male,Kenyon cells
His3.3B,11.361258,1.0714117,6.51990773101731e-30,9.933894416671249e-27,0.771539206195547,Male,Kenyon cells
CG7646,11.278093,1.1650198,1.6835543981945587e-29,2.2800938399548307e-26,0.7967086156824782,Male,Kenyon cells
Rgk1,10.744532,1.0340414,6.2880020697973385e-27,6.967677929887251e-24,0.7957405614714425,Male,Kenyon cells
VhaM9.7-a,9.742212,1.311241,1.9917023080261202e-22,1.86745072557926e-19,0.5827686350435625,Male,Kenyon cells
RpL39,8.122746,1.1118418,4.557510577890419e-16,2.645309353995539e-13,0.5498547918683446,Male,Kenyon cells
RNaseMRP:RNA,7.693608,4.1286154,1.4304286665417055e-14,6.226962505884588e-12,0.23330106485963215,Male,Kenyon cells
flw,7.2144775,1.5332474,5.4141485186023e-13,1.8855158940926699e-10,0.35818005808325265,Male,Kenyon cells
sun,6.85659,1.2909894,7.0523872219894156e-12,1.9536715420188408e-09,0.38818973862536305,Male,Kenyon cells
ninaE,5.659394,1.2846553,1.519085198517625e-08,2.057347720525704e-06,0.3165537270087125,Male,Kenyon cells
mt:srRNA,5.6480875,3.785504,1.6224281591155514e-08,2.1495409599412454e-06,0.17231364956437561,Male,Kenyon cells
hzg,5.457743,1.09393,4.822242593275663e-08,5.706632521304569e-06,0.34075508228460794,Male,Kenyon cells
28SrRNA-Psi:CR40596,5.238759,3.142754,1.6166010172019599e-07,1.728486824445148e-05,0.1713455953533398,Male,Kenyon cells
Nca,5.141157,1.5953192,2.7305128602102344e-07,2.7968253153867688e-05,0.2313649564375605,Male,Kenyon cells
MED21,4.5533524,2.7453382,5.279776888096401e-06,0.0004151948418645615,0.15779283639883834,Male,Kenyon cells
Serinc,4.2297583,1.0034941,2.339428076084685e-05,0.0015930328949383366,0.26427879961277834,Male,Kenyon cells
Taf4,4.0765576,1.2333183,4.570731198851199e-05,0.0027856321291398634,0.2197483059051307,Male,Kenyon cells
mAcon1,4.01325,1.0191445,5.9888454915203983e-05,0.0035608798876166897,0.25072604065827686,Male,Kenyon cells
lig,4.003999,1.1800455,6.228062797347409e-05,0.003685138710527552,0.22362052274927396,Male,Kenyon cells
Cdc14,3.9928324,1.0450727,6.528868238816534e-05,0.0038076734432026193,0.25556631171345595,Male,Kenyon cells
pcs,3.9885342,1.1027827,6.648283848039654e-05,0.003840565489277504,0.23523717328170377,Male,Kenyon cells
Tom6,3.9220493,1.3874048,8.779905110190609e-05,0.0049545492309311726,0.19651500484027107,Male,Kenyon cells
28SrRNA-Psi:CR45859,3.6698458,1.9458425,0.00024269688999050554,0.012173795852239802,0.1442400774443369,Male,Kenyon cells
CG5934,3.4473572,1.4922153,0.0005660995458301309,0.02519623524796761,0.1558567279767667,Male,Kenyon cells
alpha-Man-Ia,3.3866658,1.0112354,0.0007074751567446905,0.03015179959986375,0.21393998063891578,Male,Kenyon cells
CG17724,3.2621527,2.5839865,0.001105696118440391,0.04418796717268828,0.10939012584704744,Male,Kenyon cells
CG3719,-3.688114,-1.051478,0.00022592252223999524,0.011522048634239758,0.12294288480154889,Male,Kenyon cells
Phb2,-4.113374,-1.0689315,3.899172445107751e-05,0.002412538727584689,0.15295256534365925,Male,Kenyon cells
SdhB,-6.010834,-1.0163208,1.8457110845421921e-09,2.921736676556465e-07,0.2836398838334947,Male,Kenyon cells
mt:lrRNA,46.76401,3.1496713,0.0,0.0,0.9660944206008584,Male,Neuropeptide/cholinergic neurons
snRNA:7SKa,37.483997,2.5414183,1.6789073369179798e-307,1.0232100764846628e-303,0.867381974248927,Male,Neuropeptide/cholinergic neurons
Cyt-c-p,26.427254,1.9627073,6.663197804018579e-154,2.707257267772749e-150,0.6854077253218884,Male,Neuropeptide/cholinergic neurons
RpL41,21.894497,1.1461434,2.9312236618480393e-106,8.932171303566437e-103,0.7939914163090128,Male,Neuropeptide/cholinergic neurons
Mic10b,18.669182,2.8863366,8.81922690902686e-78,1.791625946568807e-74,0.3828326180257511,Male,Neuropeptide/cholinergic neurons
VhaM9.7-a,18.10561,1.156995,2.87802153771658e-73,3.897800502580822e-70,0.6952789699570815,Male,Neuropeptide/cholinergic neurons
CG7646,16.860281,1.0003046,8.816816163599647e-64,7.676298015579721e-61,0.7304721030042919,Male,Neuropeptide/cholinergic neurons
flw,16.278883,1.3987298,1.393913728480636e-59,9.439119131361374e-57,0.5321888412017167,Male,Neuropeptide/cholinergic neurons
CG42613,15.747771,1.137679,7.1144411713408305e-56,4.1294249255939707e-53,0.6351931330472103,Male,Neuropeptide/cholinergic neurons
sun,14.537733,1.5806899,6.986869863610089e-48,3.041534170269406e-45,0.42660944206008583,Male,Neuropeptide/cholinergic neurons
eIF4EHP,13.94611,1.0089852,3.3224051462308906e-44,1.1910822449237744e-41,0.6098712446351932,Male,Neuropeptide/cholinergic neurons
RNaseMRP:RNA,13.798896,3.697238,2.5878739517750136e-43,9.012455885195897e-41,0.25665236051502144,Male,Neuropeptide/cholinergic neurons
Nca,12.331653,1.5554324,6.117864357368168e-35,1.2857008388269068e-32,0.355793991416309,Male,Neuropeptide/cholinergic neurons
AcCoAS,11.53247,1.5098196,9.050925704039527e-31,1.4516017553491813e-28,0.34291845493562234,Male,Neuropeptide/cholinergic neurons
28SrRNA-Psi:CR40596,10.995035,3.376151,4.037553730716992e-28,5.408103563044991e-26,0.2072961373390558,Male,Neuropeptide/cholinergic neurons
mt:srRNA,10.89529,3.6273167,1.2137813525631871e-27,1.5908366566013644e-25,0.20300429184549357,Male,Neuropeptide/cholinergic neurons
ninaE,10.459182,1.3952419,1.3299923244241244e-25,1.573910334214141e-23,0.3236051502145923,Male,Neuropeptide/cholinergic neurons
Cds,8.570038,1.0075666,1.0345104230283924e-17,7.735980089750353e-16,0.3369098712446352,Male,Neuropeptide/cholinergic neurons
HUWE1,7.45265,1.0623256,9.148376028503079e-14,5.04568124033593e-12,0.2836909871244635,Male,Neuropeptide/cholinergic neurons
Rnf11,7.44772,1.1508415,9.496712882976093e-14,5.214208708585387e-12,0.2497854077253219,Male,Neuropeptide/cholinergic neurons
CG5282,7.338053,1.3085643,2.1672329427479048e-13,1.1485392321371397e-11,0.23004291845493563,Male,Neuropeptide/cholinergic neurons
mAcon1,7.3272047,1.0323455,2.3500236446797896e-13,1.2400189699135045e-11,0.28068669527896994,Male,Neuropeptide/cholinergic neurons
mir-9381,7.2765007,1.6633831,3.4259059033212525e-13,1.761956415847373e-11,0.18969957081545064,Male,Neuropeptide/cholinergic neurons
Tom6,7.2349906,1.1591991,4.655611461946314e-13,2.37436184559262e-11,0.24849785407725322,Male,Neuropeptide/cholinergic neurons
CG1275,7.1929398,1.6301364,6.341086362644978e-13,3.193863705548746e-11,0.1905579399141631,Male,Neuropeptide/cholinergic neurons
mtt,6.7591295,1.422821,1.3882338024692956e-11,6.130862977644292e-10,0.19871244635193133,Male,Neuropeptide/cholinergic neurons
pcs,6.5955753,1.047834,4.2360946326775936e-11,1.7804743957830065e-09,0.24721030042918454,Male,Neuropeptide/cholinergic neurons
MED21,6.561856,2.0932157,5.31421923670718e-11,2.2107514770042256e-09,0.14849785407725322,Male,Neuropeptide/cholinergic neurons
CRMP,6.3778744,1.038006,1.7956249393880908e-10,7.10612739811735e-09,0.23776824034334765,Male,Neuropeptide/cholinergic neurons
28SrRNA-Psi:CR45859,6.2044606,2.0289965,5.488481992489353e-10,2.045844250961857e-08,0.14420600858369098,Male,Neuropeptide/cholinergic neurons
lig,5.34463,1.0662531,9.060200253850513e-08,2.586294634524213e-06,0.19313304721030042,Male,Neuropeptide/cholinergic neurons
Alat,5.101655,1.0728099,3.3669647950560056e-07,8.883102572930228e-06,0.1815450643776824,Male,Neuropeptide/cholinergic neurons
capt,4.819864,1.5221428,1.4365639346649185e-06,3.3480454683806297e-05,0.12918454935622317,Male,Neuropeptide/cholinergic neurons
hzg,4.59847,1.1245544,4.256042000836314e-06,9.263731419320328e-05,0.15493562231759656,Male,Neuropeptide/cholinergic neurons
CG31360,4.438588,1.614206,9.05509680010437e-06,0.0001880282366209066,0.11587982832618025,Male,Neuropeptide/cholinergic neurons
CG5934,4.4190445,1.1792535,9.913813333438457e-06,0.000204120727569732,0.13733905579399142,Male,Neuropeptide/cholinergic neurons
CG1607,4.361247,1.2883279,1.2932327180440527e-05,0.0002627202266706493,0.13390557939914163,Male,Neuropeptide/cholinergic neurons
cdm,4.313413,1.0214156,1.6075317191063265e-05,0.0003175721900192385,0.16266094420600857,Male,Neuropeptide/cholinergic neurons
Sf3b5,4.0608797,1.2250489,4.888812677582179e-05,0.000875032859428035,0.12875536480686695,Male,Neuropeptide/cholinergic neurons
