gene,sex_effect,treatment_effect,interaction,interaction_p,treatment_p,interaction_padj,treatment_padj
lncRNA:Hsromega,0.154749393463135,-0.31030941009521484,0.4159259796142569,0.32055839936176395,0.1662058474609117,0.7946714459880255,0.5340776722667855
EMRE,0.2549889087677006,-0.31171107292175293,-0.279199600219727,0.32069404007679203,0.06474466368137122,0.7946714459880255,0.5012336136288511
dre4,-0.04891526699066134,0.1092828512191768,0.22225880622863725,0.32077621791057637,0.3278893390923199,0.7946714459880255,0.6353129671335661
CG44008,-0.027615576982498065,-0.042583733797073475,0.2134612202644347,0.3208102961543196,0.6748670669252254,0.7946714459880255,0.8398850706102982
CG14130,-0.045558929443359215,0.030497550964355247,0.2988038063049314,0.32084531936560273,0.8285739889089103,0.7946714459880255,0.9234118283282643
PH4alphaNE1,0.006988823413849002,-0.19342499971389782,0.32234752178192094,0.3210556676517863,0.24601343285552538,0.7948081283636865,0.5746839005977968
Alg12,0.15797972679138225,-0.045034885406494585,-0.13641643524169966,0.3212397231565035,0.4966866805134808,0.7948081283636865,0.739091803133045
Jheh2,-0.37586286664009083,0.49922206997871377,-0.2909020781517029,0.32130200573733353,0.017817506722022952,0.7948081283636865,0.4536371290401587
beg,0.2724780440330508,-0.21640735864639327,-0.49860799312591575,0.3215918495297309,0.38212848848600073,0.7948081283636865,0.669747449687286
lms,-0.16652218997478485,-0.07563324272632596,0.3682380020618437,0.3218099458451466,0.6667704322276073,0.7948081283636865,0.8345306947525822
Sfxn1-3,0.20242726802825955,-0.3275042772293095,-0.34100174903869673,0.321831443832019,0.095853597964047,0.7948081283636865,0.5109110947635562
CG42633,-0.08002139255404471,-0.10399441793560985,0.2700083330273627,0.321854016752919,0.43338610462497434,0.7948081283636865,0.6991091274327864
rod,0.1665128767490388,0.003859788179397361,0.2887889742851256,0.32192157045840125,0.9773646291409359,0.7948081283636865,0.9901137796504286
Egm,0.3145698308944706,-0.21903598308563277,-0.3112413883209233,0.322048938302792,0.18726880562501613,0.7948081283636865,0.5443119733779266
CG31800,0.006126761436462846,0.07138717174529985,0.6294038295745845,0.3220981060428087,0.810536386145913,0.7948081283636865,0.9135912703146388
CG14408,0.1316219568252567,-0.13540446758270264,0.1404478549957271,0.32215864810822037,0.0951467049818771,0.7948081283636865,0.5101007329200505
Argl,0.27934458851814287,-0.13331046700477633,0.15760260820388783,0.32216155351912557,0.12884536278293834,0.7948081283636865,0.521942794243011
Snr1,0.2677160501480108,-0.2340992689132695,-0.3373353481292729,0.3221670381310293,0.19230892474884828,0.7948081283636865,0.5481708971747143
Gfrl,0.014433145523071936,-0.12565255165100186,0.23412466049194247,0.32225928561720735,0.29249221547766974,0.7948081283636865,0.6066199967948919
CG15019,0.1129286289215093,-0.08050441741943404,-0.27014541625976607,0.3223613422928604,0.5381992742732914,0.7948081283636865,0.7647830109214547
mol,-0.16939318180084229,0.10865312814712513,0.36326992511749256,0.32278184909677027,0.5371678989845603,0.7948081283636865,0.7639112594229784
CG6683,0.4005929827690127,-0.16609817743301414,0.3414133787155149,0.32302100273834444,0.3346619281575088,0.7948081283636865,0.6392854662024511
CG11882,0.2015925645828249,-0.03042721748352073,0.35920572280883767,0.3230506930774598,0.8579716861062666,0.7948081283636865,0.9380932503155412
Rpn8,0.1033871173858649,0.0013639926910387068,0.3782682418823238,0.32311459080870364,0.9939092349299568,0.7948081283636865,0.99780656360757
SCCRO,-0.013021707534789595,0.10538387298583896,0.31378316879272417,0.32324574787492,0.4916420155334445,0.7948081283636865,0.7358967855953772
tun,0.19016373157501248,-0.2027684450149536,-0.18441891670227095,0.32326290097053095,0.0685475175632932,0.7948081283636865,0.5032351738611455
aspr,0.20681551471352586,-0.028480645269155558,-0.25692475587129593,0.32328614973642644,0.8152204468418062,0.7948081283636865,0.916041866100216
angel,0.3414011597633365,-0.2654364705085759,-0.35652768611908003,0.32337702368347715,0.16910075780058467,0.7948081283636865,0.5357984884072186
CG11170,0.2927913069725039,-0.09318941831588745,-0.2218967676162722,0.32341712513979076,0.39809021341558065,0.7948081283636865,0.679784433121245
mRpL32,0.3281876444816593,-0.3509556651115422,-0.3468772172927861,0.3234619998826672,0.08508624103674334,0.7948081283636865,0.508227852732338
AIMP3,0.3628480434417727,-0.32730960845947266,-0.2597875595092778,0.32346913917223125,0.04709665026966028,0.7948081283636865,0.49497874829688354
Roc2,0.21814239025115983,-0.17911970615386963,0.2692325115203853,0.32369920907907795,0.2089085714809058,0.7948081283636865,0.5553785628742902
rad50,0.2375874519348148,-0.04438614845275923,-0.26452398300170943,0.32388484983115745,0.725167916980261,0.7948081283636865,0.8688515766751896
