names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
Imzf,-1.500489,-0.6154531,0.13348778873401734,0.45121537905683234,0.01710124500822175
CG13601,-1.5021585,-0.22773969,0.13305617493815403,0.44988119731516213,0.09339910735259573
MED18,-1.503955,-0.39185098,0.1325929503119896,0.4484393649702667,0.03744420953723279
CG8435,-1.5045533,-0.62188077,0.1324389604163961,0.44816726499596116,0.021000704721634955
CG44314,-1.5066553,-1.2941275,0.13189903851953588,0.4467122479896146,0.006436457599248297
CG11180,-1.5116656,-0.4223205,0.13061896146498408,0.4427459736642633,0.032464176650223164
JMJD6,-1.5132914,-0.48812786,0.1302056808385551,0.44146788421172406,0.033356824054498475
asRNA:CR44961,-1.5143569,-3.7320635,0.12993536125381516,0.44079658177644115,0.0007047216349541931
CG33695,-1.5144776,-0.39006397,0.12990474146734257,0.44079658177644115,0.03894761569180174
Khc,-1.515137,-0.17285064,0.12973772878325066,0.4406166553744893,0.13897110641296687
JTBR,-1.5169822,-0.33929047,0.1292711868697987,0.4391545420167158,0.05609584214235377
mRpL51,-1.5207009,-0.32638323,0.1283349191976754,0.4365822858220669,0.05135071646699554
cyp33,-1.5277853,-0.34703097,0.12656585338863874,0.4311657872985236,0.04843786704251821
Dcps,-1.528384,-0.4253346,0.12641722633731134,0.43077986352403913,0.03749119097956307
snRNP-U1-70K,-1.5302849,-0.16592638,0.1259462208742047,0.4295351108661671,0.14756871035940802
CngB,-1.5323706,-0.28403723,0.1254310281132005,0.4278977894407503,0.055907916373032655
Acbp1,-1.5363182,-0.14337185,0.12446037239032144,0.42506233652721437,0.1843551797040169
Kaz,-1.5388218,-0.29203147,0.12384779397837493,0.42332606864902184,0.06525722339675828
zda,-1.5389607,-0.18150489,0.12381389761301649,0.42332606864902184,0.14343434343434344
GatB,-1.5394353,-0.42469376,0.12369806473031826,0.42305154629569286,0.03067888184167254
mEFG1,-1.5399877,-0.31312534,0.12356334938959222,0.42270942063141725,0.04998825463941743
Rbsn-5,-1.5410676,-0.425997,0.12330034114288094,0.42204657629614595,0.03288700963119568
CG12316,-1.5414582,-0.26168633,0.12320529914767453,0.4218397166603946,0.069579516091144
CG32100,-1.541973,-0.46776018,0.12308015821678944,0.4215296567868633,0.03058491895701198
Irp-1B,-1.5494374,-0.36487013,0.12127660154645473,0.4159371120567633,0.04951844021611464
CG11134,-1.5530849,-0.6846468,0.12040285635280924,0.4132693249648363,0.020906741836974396
CG6937,-1.5552614,-0.59982646,0.11988382601784418,0.4116236493891557,0.02264505520319474
CG8281,-1.5597168,-0.48133406,0.11882681819793608,0.40861977615704903,0.03382663847780127
mRpL13,-1.5609449,-0.23273158,0.11853674917273385,0.4079176837002973,0.10927883486023021
Arl2,-1.561791,-0.32310337,0.11833724490532478,0.40734613898644556,0.05586093493070237
nes,-1.5627766,-0.34236872,0.1181051440445497,0.4066620341127165,0.04815597838853653
phyl,-1.5628847,-0.124510825,0.1180797089453602,0.4066620341127165,0.23556495184402163
inaD,-1.5635514,-1.5219114,0.11792295410700764,0.40626424183445903,0.005825698848954663
CG5292,-1.5646697,-0.36025923,0.11766036169235267,0.40558884294911957,0.056659619450317125
sigmar,-1.5686399,-0.21412764,0.11673186791741778,0.402729900380811,0.09725158562367865
Csl4,-1.5721923,-0.3338513,0.11590594718686915,0.4003336895043208,0.05003523608174771
Hsf,-1.5743902,-0.17371675,0.11539727549066549,0.3989158794542602,0.13976979093258163
Arp10,-1.5750335,-0.36811772,0.11524871238450146,0.39851533482402507,0.04763918252290345
Ptpa,-1.5753865,-0.2637991,0.11516726046884523,0.39845877568618193,0.06135776368334508
ras,-1.5759352,-0.18386038,0.115040731386736,0.3981350013835676,0.12149400986610288
CG2685,-1.5764451,-0.39166874,0.11492327066664766,0.3978414502004454,0.03457834155508574
CG12746,-1.5768378,-0.38289687,0.11483285723424012,0.3976413911443616,0.04284707540521494
Nprl2,-1.5780134,-0.49408025,0.11456251712898087,0.3969307905870233,0.024947145877378434
CG4291,-1.5800229,-0.44290495,0.1141016222816155,0.3956351850804422,0.039370448672774255
Psn,-1.5800372,-0.41495532,0.11409834012274775,0.3956351850804422,0.044632370213765565
CG13807,-1.5812976,-0.37839043,0.11380998827001185,0.39499713753507243,0.04716936809960066
mRpS18B,-1.5819787,-0.33378512,0.11365443477879057,0.3945696113696036,0.04947145877378435
GM130,-1.588713,-0.31527817,0.11212520459514029,0.38970462469636874,0.051209772140004696
asRNA:CR45822,-1.5890312,-0.35254523,0.1120533543554503,0.38956598295453043,0.04467935165609584
Agps,-1.5933944,-0.19877878,0.11107173118628201,0.38659432650759323,0.10599013389711064
RhoGAP102A,-1.5954657,-0.23742224,0.11060813035624348,0.385090688635319,0.09748649283533005
Sps1,-1.5969063,-0.45489848,0.11028658327684285,0.38408090387469646,0.03288700963119568
CG9915,-1.5999539,-0.26306644,0.10960881400153877,0.382047993670219,0.0737138830162086
CG30491,-1.60249,-0.28889507,0.1090473091861832,0.38019955711395514,0.05731735964294104
MED24,-1.604083,-0.37397596,0.10869577683196391,0.37919084825552607,0.04392764857881137
CG11964,-1.6065903,-0.50591546,0.10814426908690247,0.37759109020345294,0.03199436222692037
Trabd,-1.6066641,-0.21008858,0.10812808979310114,0.37759109020345294,0.11881606765327696
CG18870,-1.6078982,-0.38402063,0.10785746103662666,0.3770216783984635,0.04698144233027954
Cpr49Ag,-1.6095244,-1.4496552,0.10750172173654697,0.37588596851599854,0.005402865867982147
Ndf,-1.6106694,-0.19441634,0.10725180194786638,0.37522738632105146,0.14977683814893117
Bbd,-1.6114175,-1.475994,0.10708874477254611,0.3748434663988887,0.005543810194972985
sbb,-1.615506,-0.00023187879,0.10620115331531842,0.37210672682688906,0.751092318534179
Hacd2,-1.6172608,-0.25301194,0.10582200433137823,0.3709704949080153,0.0776133427296218
Srp72,-1.6178771,-0.3654289,0.10568909270545793,0.37061114815501345,0.037961005402865865
egg,-1.6179737,-0.3305185,0.10566826276577738,0.37061114815501345,0.05294808550622504
YME1L,-1.6191887,-0.2820527,0.10540666580833429,0.36994006609207797,0.07559314070941978
ERR,-1.6222497,-0.26462156,0.10474988163946881,0.36784681858354523,0.059948320413436694
Tsf1,-1.6229213,-0.33783603,0.10460622005055993,0.3675851838134723,0.049706365985435756
SmE,-1.6239651,-0.20259327,0.1043832420056266,0.3670175531387854,0.11886304909560723
rgn,-1.6249058,-0.123731434,0.10418263159368897,0.3665941387111648,0.23246417665022318
CG9662,-1.6270787,-0.2614368,0.10372039847357152,0.3651784913328605,0.06793516560958421
Rtn4ip1,-1.6278071,-0.4425347,0.10356578591121461,0.3647394869898281,0.033027953958186515
Mgat1,-1.6283735,-0.2935459,0.1034457162408548,0.36452727240814664,0.05435752877613343
Gk2,-1.6295853,-0.8388357,0.1031891926229917,0.36383369073810984,0.015128024430350011
Spase25,-1.6310086,-0.1987456,0.10288849522653122,0.3628784341192676,0.10782241014799154
CG3402,-1.6328174,-0.2719772,0.10250740086958299,0.3617436911405174,0.06788818416725394
CG31855,-1.6343256,-0.22600718,0.10219049463318453,0.3609388406502133,0.11468170072821236
CG8043,-1.634478,-0.44164255,0.10215852904109692,0.3609305247773711,0.03269908386187456
Sap-r,-1.6391058,-0.15924348,0.10119123258483424,0.35772039848507675,0.14756871035940802
CHMP2B,-1.6417828,-0.34061265,0.10063504461213064,0.3559606961048347,0.051209772140004696
CG10947,-1.6420923,-0.31040746,0.100570879293832,0.35583699498186305,0.05783415550857411
l(2)37Bb,-1.6426218,-0.4632516,0.10046121180871746,0.35555218081778667,0.03218228799624148
CG2224,-1.6462537,-0.3954807,0.09971154309823818,0.35300145188046045,0.03965233732675593
MED28,-1.647614,-0.3526885,0.09943189620992386,0.3523184252624308,0.05614282358468405
CG1636,-1.6490113,-0.1911624,0.09914532485127343,0.3514051656330828,0.1230913789053324
Dtd,-1.6490437,-0.38090646,0.09913869751518264,0.3514051656330828,0.04505520319473808
