Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,positive regulation of apoptotic process (GO:0043065),1/45,0.2876219947795162,0.3759468593181078,0.421418935660863,0.5574146878064005,-1.4922701511773886,1.859530040777933,Cyt-c-p
GO_Biological_Process_2018,RNA processing (GO:0006396),1/45,0.2876219947795162,0.3759468593181078,0.421418935660863,0.5574146878064005,-1.5239755870074174,1.8990384436870031,mRpL44
GO_Biological_Process_2018,anterior/posterior pattern specification (GO:0009952),1/46,0.2929768783227292,0.3814444062868474,0.4282807347991468,0.5642428728306219,-1.140736889006233,1.4004388591112418,pcs
GO_Molecular_Function_2018,GTP binding (GO:0005525),1/56,0.3443747157739086,0.3817165524240914,0.437563046742067,0.4850096421719297,-0.8882462709555037,0.9468926638565544,alphaTub84D
GO_Molecular_Function_2018,purine ribonucleoside binding (GO:0032550),1/56,0.3443747157739086,0.3817165524240914,0.437563046742067,0.4850096421719297,-1.1592074342417604,1.2357440174679757,alphaTub84D
GO_Biological_Process_2018,protein transport (GO:0015031),2/146,0.2993858024505906,0.3882659625531097,0.5240871357879935,0.649242272692589,-0.8428732858505884,1.01652391822914,eca;Rab18
GO_Biological_Process_2018,regulation of JNK cascade (GO:0046328),1/49,0.308802797990724,0.3943174189727706,0.4483867211784332,0.5792388771643574,-1.3148282644251943,1.54499210772929,flw
GO_Biological_Process_2018,regulation of neuroblast proliferation (GO:1902692),1/49,0.308802797990724,0.3943174189727706,0.4483867211784332,0.5792388771643574,-1.306544409101817,1.535258143650122,COX5A
GO_Biological_Process_2018,neuron development (GO:0048666),1/49,0.308802797990724,0.3943174189727706,0.4483867211784332,0.5792388771643574,-1.3296114719687002,1.5623631512333065,fru
GO_Biological_Process_2018,ribosomal large subunit biogenesis (GO:0042273),1/49,0.308802797990724,0.3943174189727706,0.4483867211784332,0.5792388771643574,-1.3006448970012394,1.5283259077973808,mRpL1
GO_Molecular_Function_2018,guanyl ribonucleotide binding (GO:0032561),1/60,0.363878747608881,0.3985338664287744,0.4599364981178367,0.5037399741290594,-1.0537394262235529,1.0652616219645157,alphaTub84D
GO_Biological_Process_2018,chemical synaptic transmission (GO:0007268),2/154,0.3214693422569709,0.4089188568172963,0.5526557830211041,0.6692935009518585,-0.7233929277459603,0.8209447053448483,Pgk;P32
KEGG_2019,RNA transport,2/147,0.3021534818000692,0.4100654395858082,0.7451975856699841,0.8328678898664528,3.224983489572838,-3.8597252973490206,eIF3d1;eIF3f1
KEGG_2019,Arginine and proline metabolism,1/53,0.329357916307445,0.4171866939894303,0.6184704349223998,0.8328678898664528,-51.57504380402997,57.27977115984678,P5cr
GO_Biological_Process_2018,regulation of hydrolase activity (GO:0051336),1/53,0.329357916307445,0.4173543061605791,0.4741102853745677,0.6100954059858777,-1.264074818825417,1.4038944227825747,sif
GO_Biological_Process_2018,negative regulation of intracellular signal transduction (GO:1902532),1/54,0.3344010963667676,0.4205347120976016,0.4803534822905117,0.613374446617115,-1.2303802041714778,1.347775847594502,ATPsynD
GO_Biological_Process_2018,protein modification by small protein removal (GO:0070646),1/54,0.3344010963667676,0.4205347120976016,0.4803534822905117,0.613374446617115,-1.3431649615665755,1.4713218632720535,eIF3f1
