names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CG1275,9.429446,1.5322343,4.122593126236045e-21,8.678806151241995e-20,0.08405071879903311
Mlc-c,9.344744,1.0400594,9.211265053242304e-21,1.8933576683637512e-19,0.10902845511216658
Arr1,9.220988,1.3550684,2.943750770578888e-20,5.921019495476248e-19,0.08595903481616556
hzg,9.1892805,1.0007198,3.954791614771924e-20,7.94150823598929e-19,0.11178491158135788
Sf3b5,8.668387,1.1215581,4.38283662070983e-18,8.082056818431485e-17,0.09613672024087189
CG5412,8.354727,1.5305071,6.558448582993356e-17,1.1436470640644637e-15,0.07247360162842967
capt,8.203869,1.2363324,2.327716716951699e-16,3.973744966796115e-15,0.08243925194012128
MsrA,8.123637,1.1627121,4.524151374819561e-16,7.637795167268093e-15,0.0860014418387685
Sara,7.907635,1.1000504,2.623236804061108e-15,4.274683610254124e-14,0.08667995420041559
CG7582,7.8830876,1.0106227,3.193885848652155e-15,5.1427047039922215e-14,0.0899452949408422
CG32085,7.7616076,1.1429087,8.385958532932074e-15,1.3240472611128115e-13,0.08481404520588609
Rer1,7.7492676,1.1717119,9.242421122402633e-15,1.4573851366231007e-13,0.08116704126203299
caz,7.199745,1.4476167,6.032527335039336e-13,8.530217597075924e-12,0.06560366396675289
CG11768,6.6527476,1.0634007,2.8767134353801738e-11,3.644933478570576e-10,0.07552690725584156
CG6276,6.494524,1.2828124,8.329644439785126e-11,1.017335030827063e-09,0.06288961452016453
Bet3,6.4616265,1.152221,1.0358363156456469e-10,1.258804471725303e-09,0.06946270302362072
18SrRNA-Psi:CR41602,6.440171,1.553196,1.193389981027453e-10,1.445947363692209e-09,0.05712225944616429
Arl1,6.3894973,1.0630625,1.6643181155050062e-10,2.006565134509448e-09,0.07175268224417963
Pino,6.385222,1.1738464,1.7114901549486952e-10,2.0593636227709424e-09,0.06640939739620881
CG1440,6.3397074,1.0472654,2.302017689661479e-10,2.7374920604179284e-09,0.0711165769051355
CG13603,6.080545,1.0611415,1.1977472650843785e-09,1.3357128466709504e-08,0.06704550273525296
dmpd,6.075848,1.0647362,1.2333418528605082e-09,1.3716426865434977e-08,0.06742716593867945
yki,5.7149744,1.3194318,1.0972046398080579e-08,1.1440399790094456e-07,0.053899325728340615
FucT6,5.674747,1.45609,1.3889369764773572e-08,1.4371606796504676e-07,0.05016750773928162
Pex23,5.4181976,1.2152768,6.020278445761671e-08,5.956264121378978e-07,0.05495950129341419
ubl,5.3538446,1.4122566,8.610480403078296e-08,8.423205909560301e-07,0.04796234256392859
CG11710,5.2800193,1.071463,1.2917045662770988e-07,1.246602292822768e-06,0.05847928416945846
Caf1-55,5.236921,1.0931002,1.6327765862869622e-07,1.5621596397371885e-06,0.05788558585301726
28SrRNA-Psi:CR45848,5.226137,1.9819609,1.7308818322700525e-07,1.6469725724855325e-06,0.03965056613375175
CG15456,5.039087,1.2424649,4.6775869442479123e-07,4.303026963278325e-06,0.05025232178448751
galla-2,4.987642,1.6749989,6.112068013506089e-07,5.563853399299904e-06,0.040583520631016494
Lipt2,4.8729606,1.2880287,1.0993808125688551e-06,9.838731809399247e-06,0.04656291081803147
CG13404,4.6118555,1.0072849,3.990906881401915e-06,3.380483945615562e-05,0.05372969763792884
Nf-YB,4.572297,1.268604,4.82406177662798e-06,4.049620454223033e-05,0.04490903693651669
Polr2G,4.5536246,1.6878697,5.272939554482869e-06,4.400952264405508e-05,0.03727577286798694
PRAS40,4.4591517,1.0587227,8.22845713396752e-06,6.664230166506984e-05,0.05088842712353166
Patsas,4.3950562,1.3430455,1.1074404967263814e-05,8.851535878424828e-05,0.041092404902251814
Hr78,4.3052726,1.3399073,1.6678022723405567e-05,0.000130648084174544,0.039353716975531146
CG6083,4.1220856,1.6911452,3.7545742248231926e-05,0.00028267143438153114,0.034561723421398585
CG6665,4.1000633,1.1692348,4.130369518925259e-05,0.000309055089417925,0.04045629956320767
lncRNA:CR45333,3.9790828,2.2086892,6.91816731098495e-05,0.0005031356882672765,0.028285484076163013
CG31249,3.42186,1.3972481,0.0006219433086407085,0.003977369878815108,0.03116916161316314
Osbp,3.3851316,1.017031,0.0007114412547741239,0.004516540340855102,0.038463169500869344
CG40472,3.2622633,1.7063024,0.001105264098408806,0.006756300950604281,0.026631610194648235
28SrRNA-Psi:CR45860,3.1842017,1.9482241,0.001451538310037446,0.008597084772131405,0.023747932657648105
CG18324,3.1809094,1.4547648,0.0014681352931836674,0.008691161286360233,0.027776599804927696
Dph3,3.174896,2.2293901,0.0014989023373475387,0.00886038825893751,0.022645350069971586
CG6870,3.1459997,1.6192727,0.0016552016419765342,0.009685671058114248,0.026928459352868837
CG1951,3.1200838,1.0325663,0.0018079966003460778,0.010504132774841917,0.03617319028031042
Mis12,3.0246134,1.3314248,0.0024895112563093932,0.014048450325534811,0.028285484076163013
Rh2,2.9516578,1.300063,0.0031607303865882294,0.01747217355198364,0.028285484076163013
M6,2.9432292,1.0751805,0.0032480789541666708,0.01790630229413729,0.032314151223442604
Sec71,2.9058444,1.1479636,0.0036626345191555078,0.01993919256542496,0.03133878970357491
CG6356,2.8289602,1.0164009,0.0046699494343533906,0.024697676239850842,0.033162291675501464
CG33941,2.8021686,1.0685666,0.005076033227840115,0.026657375706222817,0.028921589415207158
PCNA2,2.7417364,1.1280438,0.006111536164084019,0.03157842912421369,0.028455112166574786
28SrRNA-Psi:CR40741,2.7070243,1.4210619,0.006788926255286601,0.03476900089314638,0.02459607310970697
CG14971,2.6602972,1.3851761,0.007807171336714843,0.03953535995979112,0.02395996777066282
Hsp27,-10.7938795,-1.1410974,3.679226718232126e-27,9.685981526680646e-26,0.08023408676476824
Hsp26,-12.515164,-1.0789534,6.16799100188283e-36,2.135842111419029e-34,0.10542385819091642
Hr38,-26.582884,-1.0010916,1.0707584895327818e-155,1.9193345924875115e-153,0.28620499554726264
