names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MKP-4,0.56791043,0.104126856,0.5700957846054284,1.0,0.04160128917348713
neur,0.56783545,0.51365906,0.5701467068860573,1.0,0.01153471014800051
vig,0.5660456,0.01230101,0.5713627979706515,1.0,0.5285611297230821
Arfip,0.56424206,0.10850898,0.5725893993700255,1.0,0.05258470802764938
NSD,0.5639179,0.33603922,0.5728100213268333,1.0,0.017726135448030193
PhLP3,0.5636035,0.110473074,0.573023980667648,1.0,0.07018362240787074
Grip,0.5596148,0.9216758,0.5757422318872494,1.0,0.006997158729485603
Ctu2,0.5594163,0.36212835,0.5758776322764628,1.0,0.01293414189389763
lncRNA:cherub,0.55761623,0.36149865,0.5771064826387262,1.0,0.015817819430897755
CG42399,0.5575189,0.16739434,0.5771729631386385,1.0,0.02921843857342776
whd,0.55708224,0.2177451,0.5774712644051816,1.0,0.024511259064501082
CG15643,0.5561702,0.16002224,0.5780944901349239,1.0,0.02128832534667741
CG31886,0.5560585,0.45668134,0.5781708622109858,1.0,0.011916373351426996
Nup214,0.5553037,0.20420633,0.5786869510565404,1.0,0.026037911878207032
pelo,0.5531446,0.09029662,0.5801644232357284,1.0,0.04970103049064925
Hug,0.5525121,0.38789034,0.5805975553023371,1.0,0.01140748908019168
Tret1,0.5487752,0.39773577,0.5831597510821472,1.0,0.0158602264535007
CG14186,0.5480821,0.04986109,0.5836355320602371,1.0,0.1918917772783173
CG11882,0.5466554,0.17974718,0.5846154817538489,1.0,0.02629235401382469
lama,0.546635,0.46860537,0.5846295349088882,1.0,0.011025825876765193
CG34136,0.5457794,0.24666087,0.5852175659347353,1.0,0.02001611466858912
Snx3,0.543907,0.036668643,0.5865054761614951,1.0,0.17463211907891946
Upf2,0.54345137,0.22188662,0.5868190558602515,1.0,0.027225308511089435
nAChRalpha3,0.5429291,0.032475714,0.5871786080775623,1.0,0.2670794283533353
CG31195,0.54197925,0.30736998,0.5878327903202176,1.0,0.01908316017132437
Tsen15,0.5409332,0.7637775,0.5885536152138883,1.0,0.00793011322675035
Paics,0.54078096,0.22544925,0.5886585629275904,1.0,0.02794622789533947
pzg,0.53972584,0.08774282,0.589386124495302,1.0,0.07247360162842967
Rexo5,0.53961486,0.12327821,0.5894626652957653,1.0,0.036258004325516305
CG13229,0.5392736,0.12867166,0.5896980635027737,1.0,0.03396802510495738
CSN1b,0.5392089,0.16959669,0.5897427444138894,1.0,0.02989695093507485
Tkt,0.537505,0.23807207,0.590918856728507,1.0,0.02434163097408931
esn,0.53740084,0.11961407,0.5909907812073505,1.0,0.04571477036597261
CG10147,0.5356522,0.21889554,0.5921989285571005,1.0,0.025910690810398204
Rox8,0.53513676,0.025677828,0.5925552825968287,1.0,0.21491879055171537
lncRNA:CR45669,0.53432477,0.5870398,0.5931168508775595,1.0,0.008735846656206268
Kap3,0.5323262,0.04774461,0.5945000692790376,1.0,0.13103769984309402
CG42518,0.5304458,2.1930952,0.5958028500089699,1.0,0.0037742250116619314
Picot,0.53002167,0.31030935,0.5960969098868386,1.0,0.015478563250074212
asRNA:CR45469,0.5281174,1.3886327,0.5974178428306914,1.0,0.004749586531529622
Tsp,0.5278417,0.9355391,0.5976092098609223,1.0,0.006573088503456172
Lkr,0.52479637,0.5591193,0.5997247722599897,1.0,0.010601755650735761
MED17,0.52341133,0.43481618,0.6006880379892914,1.0,0.012425257622662313
Oatp74D,0.52295536,0.32354832,0.6010053284347437,1.0,0.015096900046647726
Sf3a2,0.5226732,0.17316125,0.6012016963869031,1.0,0.03116916161316314
NPF,0.5226016,0.50177205,0.6012515178291088,1.0,0.008820660701412153
CG10311,0.5219703,0.3701049,0.6016910289138176,1.0,0.01365506127814766
dpr13,0.5216018,0.021994978,0.6019476311386474,1.0,0.3324710572070735
CG17162,0.5209409,0.93893725,0.6024079508591594,1.0,0.006191425300029685
Ufsp2,0.52060723,0.20614217,0.6026404131874746,1.0,0.02391756074805988
Best2,0.51937145,1.0260177,0.6035017461689134,1.0,0.005640134006191426
subdued,0.51930404,0.15508138,0.6035487486825453,1.0,0.027776599804927696
CG14182,0.51895064,0.07852391,0.6037951427037569,1.0,0.0539841397735465
dos,0.51887757,0.10930265,0.6038461173117522,1.0,0.04032907849539884
oaf,0.5185678,0.05855422,0.6040621865918893,1.0,0.14159704847122684
ko,0.51829016,0.17138568,0.6042558331769716,1.0,0.026631610194648235
prd1,0.51821405,0.040152967,0.6043089389507625,1.0,0.19893134303040583
CG43689,0.5176346,0.07559581,0.6047132455814193,1.0,0.0661973622831941
Edem1,0.5165518,0.24258016,0.6054690690495351,1.0,0.024511259064501082
CG10737,0.5152948,0.08770532,0.6063470313961348,1.0,0.06318646367838514
stumps,0.5145722,0.6343876,0.6068520048971788,1.0,0.007887706204147407
vkg,0.51415217,0.27592522,0.6071456004428541,1.0,0.01628429667953013
Pi3K59F,0.51394314,0.21693991,0.6072917600060042,1.0,0.021118697256265636
CG9522,0.51339585,0.87522423,0.6076744440853471,1.0,0.006445867435647343
Alg9,0.51218206,0.49556783,0.6085236183673526,1.0,0.011322675034985793
CrebA,0.51218015,0.26486933,0.6085249435450366,1.0,0.020355370849412663
CG6357,0.5117052,0.11856464,0.6088573386823813,1.0,0.025147364403545227
par-6,0.5113386,0.07543246,0.6091139796572271,1.0,0.08303295025656249
Targ2,0.5112269,0.3291103,0.6091922010915829,1.0,0.01709003010898605
Uba5,0.5111837,0.091621555,0.6092224302326418,1.0,0.028963996437810103
RluA-1,0.5098597,0.6092793,0.6101497809762787,1.0,0.009287137950044527
Pgd,0.5092465,1.2622072,0.6105794499737794,1.0,0.005088842712353166
Sec6,0.5092427,0.17029953,0.6105821043068524,1.0,0.020228149781603835
CG6656,0.50664276,1.1650305,0.6124055105088677,1.0,0.0051736567575590515
Uvrag,0.50529826,0.13680162,0.6133493660467166,1.0,0.03651244646113396
Arf6,0.50494605,0.017947257,0.6135967356925329,1.0,0.1844281413001993
blo,0.50439423,0.4019482,0.6139843699243808,1.0,0.01153471014800051
CG13117,0.5043802,0.50412685,0.6139942151639495,1.0,0.012849327848691743
Hat1,0.5042068,0.11427221,0.6141160890258349,1.0,0.039438531020737036
ash1,0.50402385,0.068306185,0.6142446269390683,1.0,0.12069038632797591
Ate1,0.5034186,0.061721228,0.6146699776136664,1.0,0.06199906704550274
