group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
18,Pka-C3,46.999767,4.404126,0.0,0.0,0.6901901901901902,0.11328241010228204
18,CG31221,46.999607,2.5846484,0.0,0.0,0.960960960960961,0.7376899226647976
19,CG1552,37.959877,8.190833,0.0,0.0,0.967680608365019,0.08872050530641791
19,nrv2,37.956768,6.918402,0.0,0.0,0.9752851711026616,0.17218713149875658
19,CG8369,37.88836,7.5190206,0.0,0.0,0.9752851711026616,0.201725607406802
19,lncRNA:CR34335,36.587177,3.9854503,4.5738752465265224e-293,1.3937741344977945e-289,1.0,0.973940759594167
19,CG4409,36.432037,8.061034,1.3243802878857894e-290,3.228574265807977e-287,0.9315589353612167,0.05459364163874327
2,CG9394,20.689371,10.585282,4.3180514018802675e-95,5.263272853751858e-91,1.0,0.044331310877095104
2,CG1552,20.630974,9.313252,1.4470406204802462e-94,8.81898906151686e-91,1.0,0.09257967780179929
2,Gs2,20.585672,8.688793,3.688776599539005e-94,1.4987499323926977e-90,1.0,0.11431527070692982
2,CG42342,20.049692,5.8292236,2.031011567630995e-89,6.18899999946355e-86,0.986013986013986,0.4131389915614757
2,CG31705,19.682547,8.614496,3.043205872041204e-86,7.418727274862047e-83,0.958041958041958,0.040332891647488205
20,CG14989,56.618332,5.4452567,0.0,0.0,0.9993514915693904,0.5304779346606014
20,Octbeta1R,47.901024,4.1571417,0.0,0.0,0.8086900129701686,0.21730962367814735
20,Bx,44.84139,3.917903,0.0,0.0,0.7801556420233463,0.2181367046730076
20,cpx,36.756893,1.2352508,9.022426116860016e-296,1.8329058656401124e-292,0.9941634241245136,0.9332781946003427
20,Gad1,35.566456,3.1938174,4.625766879399518e-277,8.054781784714388e-274,0.7185473411154345,0.22265020381638803
21,Pdh,34.838394,8.809953,6.382074113640123e-266,7.779110137115946e-262,0.9409282700421941,0.06955415796413195
21,fabp,31.502768,6.3707347,7.960711762600537e-218,4.851655783716897e-214,0.890295358649789,0.20183657514906128
21,pkm,29.426725,8.60294,2.499914901214718e-190,1.01571542436354e-186,0.7911392405063291,0.02128280223562769
21,se,24.850357,7.59273,2.563002592375401e-136,7.81010964961594e-133,0.6708860759493671,0.018085714619091513
21,CG6870,23.896555,8.506098,3.3259972910990374e-126,8.108116196241233e-123,0.6413502109704642,0.011248147672776916
22,beat-IIa,49.39848,4.445973,0.0,0.0,0.9178662150719729,0.3351098875241188
22,Con,46.799335,3.4422388,0.0,0.0,0.9483488569009314,0.5054002541296061
22,nAChRalpha7,45.41329,3.2302973,0.0,0.0,0.9271803556308214,0.5526377711892324
22,acj6,42.779427,4.7454534,0.0,0.0,0.8145639288738358,0.12257047390465434
22,ct,38.880657,3.0344765,0.0,0.0,0.934801016088061,0.48972892842016097
